,date,region,population,disease,"European Standard population rate per 100,000"
351,2019-09-30,East,5569743.0,8258.0,152.66620766039645
352,2019-09-30,East Midlands,4162264.0,5993.0,147.67442220923232
353,2019-09-30,London,1658917.0,1638.0,144.43574948266118
354,2019-09-30,North East,1098002.0,1654.0,156.87397162762863
355,2019-09-30,North West,2058332.0,3277.0,156.17599854663055
356,2019-09-30,South East,1577529.0,2020.0,123.79307356198605
357,2019-09-30,South West,3276296.0,5123.0,144.0609891927038
358,2019-09-30,West Midlands,988892.0,1347.0,154.43882191497744
359,2019-09-30,Yorkshire and The Humber,3401974.0,4958.0,154.01090746614847
360,2019-10-07,East,5573387.0,8188.0,151.10088527799348
361,2019-10-07,East Midlands,4163877.0,6256.0,153.95765619466897
362,2019-10-07,London,1661692.0,1625.0,144.80245194013713
363,2019-10-07,North East,1098101.0,1628.0,153.84901222208362
364,2019-10-07,North West,2058681.0,3224.0,153.14959907340594
365,2019-10-07,South East,1578094.0,2128.0,130.63430775872354
366,2019-10-07,South West,3277902.0,5112.0,143.2841622595859
367,2019-10-07,West Midlands,989169.0,1310.0,149.83366790838198
368,2019-10-07,Yorkshire and The Humber,3402367.0,4998.0,154.93723966764776
369,2019-10-14,East,5575642.0,8366.0,154.68384585158645
370,2019-10-14,East Midlands,4165547.0,6257.0,154.16592526128855
371,2019-10-14,London,1664176.0,1655.0,146.7902657865673
372,2019-10-14,North East,1098253.0,1728.0,163.73064781487977
373,2019-10-14,North West,2058881.0,3387.0,161.13082870498994
374,2019-10-14,South East,1578520.0,2086.0,127.49615607563547
375,2019-10-14,South West,3278753.0,5355.0,149.70345455415506
376,2019-10-14,West Midlands,989516.0,1388.0,158.46138211360957
377,2019-10-14,Yorkshire and The Humber,3402722.0,5123.0,158.79108364801934
378,2019-10-21,East,5578094.0,8066.0,149.0427589271717
379,2019-10-21,East Midlands,4167318.0,6124.0,150.89676625336523
380,2019-10-21,London,1666687.0,1555.0,139.2554314343376
381,2019-10-21,North East,1098443.0,1697.0,160.65160748068166
382,2019-10-21,North West,2058903.0,3279.0,156.20289878477942
383,2019-10-21,South East,1579052.0,2107.0,129.16801589589207
384,2019-10-21,South West,3279646.0,5116.0,143.03182682775918
385,2019-10-21,West Midlands,989717.0,1327.0,151.09744834144396
386,2019-10-21,Yorkshire and The Humber,3403187.0,4994.0,154.6294186631148
387,2019-10-28,East,5580668.0,8322.0,153.55522982376093
388,2019-10-28,East Midlands,4169340.0,6055.0,149.18353362612345
389,2019-10-28,London,1669317.0,1632.0,146.57100341269643
390,2019-10-28,North East,1098547.0,1660.0,157.15098582859721
391,2019-10-28,North West,2059166.0,3170.0,150.90795346059346
392,2019-10-28,South East,1579453.0,2080.0,127.1559410334983
393,2019-10-28,South West,3280611.0,5162.0,145.08090433716106
394,2019-10-28,West Midlands,989720.0,1276.0,145.68840269701184
395,2019-10-28,Yorkshire and The Humber,3403779.0,5101.0,158.10307024504675
396,2019-11-04,East,5583029.0,8409.0,154.94682148346516
397,2019-11-04,East Midlands,4171637.0,6382.0,156.8673527293964
398,2019-11-04,London,1671548.0,1659.0,148.13916381671982
399,2019-11-04,North East,1098632.0,1754.0,165.37509606377915
400,2019-11-04,North West,2059078.0,3480.0,165.54176669932647
401,2019-11-04,South East,1579652.0,2183.0,133.9023343289393
402,2019-11-04,South West,3281513.0,5577.0,156.34133952503805
403,2019-11-04,West Midlands,989651.0,1370.0,156.41588343753736
404,2019-11-04,Yorkshire and The Humber,3404474.0,5286.0,163.26467570432467
405,2019-11-11,East,5585545.0,8477.0,155.9427178926392
406,2019-11-11,East Midlands,4173196.0,6387.0,156.68160023815548
407,2019-11-11,London,1674099.0,1692.0,148.52814211621813
408,2019-11-11,North East,1098699.0,1705.0,160.9997183903345
409,2019-11-11,North West,2059223.0,3463.0,164.98411131860922
410,2019-11-11,South East,1580126.0,2226.0,136.25152016501366
411,2019-11-11,South West,3282209.0,5444.0,152.39176088056894
412,2019-11-11,West Midlands,990011.0,1326.0,150.5145456580791
413,2019-11-11,Yorkshire and The Humber,3405024.0,5114.0,158.13415289249178
414,2019-11-18,East,5587356.0,8648.0,158.763695510337
415,2019-11-18,East Midlands,4175183.0,6588.0,161.54274913193075
416,2019-11-18,London,1675844.0,1676.0,148.97431017552114
417,2019-11-18,North East,1098810.0,1831.0,173.17317808107464
418,2019-11-18,North West,2059405.0,3446.0,163.72358857697617
419,2019-11-18,South East,1580493.0,2210.0,135.6350425107974
420,2019-11-18,South West,3282984.0,5657.0,158.72877355535937
421,2019-11-18,West Midlands,989604.0,1385.0,156.42662331444333
422,2019-11-18,Yorkshire and The Humber,3405682.0,5453.0,167.94736923824183
423,2019-11-25,East,5588322.0,8678.0,159.50557431218314
424,2019-11-25,East Midlands,4176741.0,6763.0,165.6983614542406
425,2019-11-25,London,1676426.0,1681.0,149.59677725407093
426,2019-11-25,North East,1098982.0,1852.0,174.78531984103893
427,2019-11-25,North West,2059588.0,3538.0,168.33417890980272
428,2019-11-25,South East,1580652.0,2192.0,134.63138044408262
